task_id,task_text,category,priority,status,due_date,cleaned_text,tokens,token_no_stopwords,stemmed_tokens,text_length,due_days_left,urgency_flag,priority_binary,assigned_to,predicted_priority
241,Update user manual,Documentation,Medium,Done,2025-06-25,update user manual,"['update', 'user', 'manual']","['update', 'user', 'manual']","['updat', 'user', 'manual']",3,3,0,0,Alice,0
247,Improve API docs,Documentation,High,In Progress,2025-06-29,improve api docs,"['improve', 'api', 'docs']","['improve', 'api', 'docs']","['improv', 'api', 'doc']",3,7,0,1,Charlie,1
250,Document new features,Documentation,High,To Do,2025-07-06,document new features,"['document', 'new', 'features']","['document', 'new', 'features']","['document', 'new', 'featur']",3,14,0,1,Diana,0
251,Improve API docs,Documentation,Low,In Progress,2025-07-11,improve api docs,"['improve', 'api', 'docs']","['improve', 'api', 'docs']","['improv', 'api', 'doc']",3,19,0,0,Diana,0
252,Update user manual,Documentation,High,To Do,2025-06-30,update user manual,"['update', 'user', 'manual']","['update', 'user', 'manual']","['updat', 'user', 'manual']",3,8,0,1,Bob,1
253,Write README,Documentation,Medium,Done,2025-07-11,write readme,"['write', 'readme']","['write', 'readme']","['write', 'readm']",2,19,0,0,Alice,0
254,Document new features,Documentation,Medium,In Progress,2025-07-11,document new features,"['document', 'new', 'features']","['document', 'new', 'features']","['document', 'new', 'featur']",3,19,0,0,Alice,0
255,Update user manual,Documentation,Medium,In Progress,2025-06-25,update user manual,"['update', 'user', 'manual']","['update', 'user', 'manual']","['updat', 'user', 'manual']",3,3,0,0,Diana,0
257,Write README,Documentation,Low,To Do,2025-06-25,write readme,"['write', 'readme']","['write', 'readme']","['write', 'readm']",2,3,0,0,Charlie,0
258,Update user manual,Documentation,Medium,In Progress,2025-07-03,update user manual,"['update', 'user', 'manual']","['update', 'user', 'manual']","['updat', 'user', 'manual']",3,11,0,0,Alice,1
259,Update user manual,Documentation,Medium,In Progress,2025-07-05,update user manual,"['update', 'user', 'manual']","['update', 'user', 'manual']","['updat', 'user', 'manual']",3,13,0,0,Alice,1
260,Write README,Documentation,High,In Progress,2025-07-01,write readme,"['write', 'readme']","['write', 'readme']","['write', 'readm']",2,9,0,1,Charlie,1
261,Update user manual,Documentation,Low,To Do,2025-06-28,update user manual,"['update', 'user', 'manual']","['update', 'user', 'manual']","['updat', 'user', 'manual']",3,6,0,0,Bob,0
262,Update user manual,Documentation,High,In Progress,2025-06-22,update user manual,"['update', 'user', 'manual']","['update', 'user', 'manual']","['updat', 'user', 'manual']",3,0,1,1,Charlie,1
263,Write README,Documentation,High,To Do,2025-07-11,write readme,"['write', 'readme']","['write', 'readme']","['write', 'readm']",2,19,0,1,Diana,1
269,Update user manual,Documentation,Medium,Done,2025-07-07,update user manual,"['update', 'user', 'manual']","['update', 'user', 'manual']","['updat', 'user', 'manual']",3,15,0,0,Bob,1
270,Write README,Documentation,Medium,Done,2025-06-28,write readme,"['write', 'readme']","['write', 'readme']","['write', 'readm']",2,6,0,0,Bob,0
271,Improve API docs,Documentation,High,In Progress,2025-07-09,improve api docs,"['improve', 'api', 'docs']","['improve', 'api', 'docs']","['improv', 'api', 'doc']",3,17,0,1,Diana,1
272,Document new features,Documentation,High,To Do,2025-07-05,document new features,"['document', 'new', 'features']","['document', 'new', 'features']","['document', 'new', 'featur']",3,13,0,1,Diana,0
274,Improve API docs,Documentation,High,In Progress,2025-06-22,improve api docs,"['improve', 'api', 'docs']","['improve', 'api', 'docs']","['improv', 'api', 'doc']",3,0,1,1,Alice,1
275,Document new features,Documentation,Low,To Do,2025-07-06,document new features,"['document', 'new', 'features']","['document', 'new', 'features']","['document', 'new', 'featur']",3,14,0,0,Charlie,0
278,Document new features,Documentation,High,In Progress,2025-07-11,document new features,"['document', 'new', 'features']","['document', 'new', 'features']","['document', 'new', 'featur']",3,19,0,1,Bob,0
280,Update user manual,Documentation,Medium,To Do,2025-07-01,update user manual,"['update', 'user', 'manual']","['update', 'user', 'manual']","['updat', 'user', 'manual']",3,9,0,0,Charlie,0
281,Improve API docs,Documentation,Low,In Progress,2025-06-26,improve api docs,"['improve', 'api', 'docs']","['improve', 'api', 'docs']","['improv', 'api', 'doc']",3,4,0,0,Diana,1
282,Document new features,Documentation,Low,Done,2025-07-09,document new features,"['document', 'new', 'features']","['document', 'new', 'features']","['document', 'new', 'featur']",3,17,0,0,Diana,0
285,Improve API docs,Documentation,High,Done,2025-07-07,improve api docs,"['improve', 'api', 'docs']","['improve', 'api', 'docs']","['improv', 'api', 'doc']",3,15,0,1,Bob,1
288,Write README,Documentation,Low,Done,2025-07-09,write readme,"['write', 'readme']","['write', 'readme']","['write', 'readm']",2,17,0,0,Charlie,0
290,Document new features,Documentation,High,In Progress,2025-06-26,document new features,"['document', 'new', 'features']","['document', 'new', 'features']","['document', 'new', 'featur']",3,4,0,1,Bob,1
292,Document new features,Documentation,Low,To Do,2025-07-03,document new features,"['document', 'new', 'features']","['document', 'new', 'features']","['document', 'new', 'featur']",3,11,0,0,Alice,0
294,Write README,Documentation,High,Done,2025-07-10,write readme,"['write', 'readme']","['write', 'readme']","['write', 'readm']",2,18,0,1,Alice,1
295,Document new features,Documentation,Low,To Do,2025-07-10,document new features,"['document', 'new', 'features']","['document', 'new', 'features']","['document', 'new', 'featur']",3,18,0,0,Bob,0
297,Improve API docs,Documentation,Medium,Done,2025-06-25,improve api docs,"['improve', 'api', 'docs']","['improve', 'api', 'docs']","['improv', 'api', 'doc']",3,3,0,0,Alice,0
299,Write README,Documentation,High,To Do,2025-07-09,write readme,"['write', 'readme']","['write', 'readme']","['write', 'readm']",2,17,0,1,Charlie,1
300,Write README,Documentation,Low,In Progress,2025-07-03,write readme,"['write', 'readme']","['write', 'readme']","['write', 'readm']",2,11,0,0,Charlie,0
301,Schedule sprint planning,Meeting,Medium,Done,2025-06-29,schedule sprint planning,"['schedule', 'sprint', 'planning']","['schedule', 'sprint', 'planning']","['schedul', 'sprint', 'plan']",3,7,0,0,Alice,0
303,Weekly sync-up,Meeting,Low,Done,2025-07-04,weekly syncup,"['weekly', 'syncup']","['weekly', 'syncup']","['weekli', 'syncup']",2,12,0,0,Alice,0
304,Schedule sprint planning,Meeting,Low,To Do,2025-06-25,schedule sprint planning,"['schedule', 'sprint', 'planning']","['schedule', 'sprint', 'planning']","['schedul', 'sprint', 'plan']",3,3,0,0,Diana,1
305,Client presentation,Meeting,High,In Progress,2025-06-23,client presentation,"['client', 'presentation']","['client', 'presentation']","['client', 'present']",2,1,1,1,Charlie,1
308,Client presentation,Meeting,High,To Do,2025-06-28,client presentation,"['client', 'presentation']","['client', 'presentation']","['client', 'present']",2,6,0,1,Charlie,1
309,Weekly sync-up,Meeting,High,Done,2025-06-23,weekly syncup,"['weekly', 'syncup']","['weekly', 'syncup']","['weekli', 'syncup']",2,1,1,1,Bob,1
310,Schedule sprint planning,Meeting,Low,Done,2025-06-27,schedule sprint planning,"['schedule', 'sprint', 'planning']","['schedule', 'sprint', 'planning']","['schedul', 'sprint', 'plan']",3,5,0,0,Charlie,0
311,Schedule sprint planning,Meeting,High,Done,2025-06-29,schedule sprint planning,"['schedule', 'sprint', 'planning']","['schedule', 'sprint', 'planning']","['schedul', 'sprint', 'plan']",3,7,0,1,Charlie,0
312,Schedule sprint planning,Meeting,Low,To Do,2025-06-27,schedule sprint planning,"['schedule', 'sprint', 'planning']","['schedule', 'sprint', 'planning']","['schedul', 'sprint', 'plan']",3,5,0,0,Alice,1
313,Weekly sync-up,Meeting,Low,To Do,2025-06-30,weekly syncup,"['weekly', 'syncup']","['weekly', 'syncup']","['weekli', 'syncup']",2,8,0,0,Charlie,0
315,Demo product roadmap,Meeting,Medium,Done,2025-07-11,demo product roadmap,"['demo', 'product', 'roadmap']","['demo', 'product', 'roadmap']","['demo', 'product', 'roadmap']",3,19,0,0,Diana,0
316,Demo product roadmap,Meeting,Medium,In Progress,2025-06-28,demo product roadmap,"['demo', 'product', 'roadmap']","['demo', 'product', 'roadmap']","['demo', 'product', 'roadmap']",3,6,0,0,Charlie,0
317,Weekly sync-up,Meeting,Medium,Done,2025-07-11,weekly syncup,"['weekly', 'syncup']","['weekly', 'syncup']","['weekli', 'syncup']",2,19,0,0,Diana,0
318,Client presentation,Meeting,High,To Do,2025-07-08,client presentation,"['client', 'presentation']","['client', 'presentation']","['client', 'present']",2,16,0,1,Charlie,1
319,Weekly sync-up,Meeting,Low,In Progress,2025-07-01,weekly syncup,"['weekly', 'syncup']","['weekly', 'syncup']","['weekli', 'syncup']",2,9,0,0,Charlie,0
320,Client presentation,Meeting,High,To Do,2025-06-27,client presentation,"['client', 'presentation']","['client', 'presentation']","['client', 'present']",2,5,0,1,Diana,1
321,Demo product roadmap,Meeting,Low,To Do,2025-07-09,demo product roadmap,"['demo', 'product', 'roadmap']","['demo', 'product', 'roadmap']","['demo', 'product', 'roadmap']",3,17,0,0,Bob,0
322,Schedule sprint planning,Meeting,Low,In Progress,2025-07-09,schedule sprint planning,"['schedule', 'sprint', 'planning']","['schedule', 'sprint', 'planning']","['schedul', 'sprint', 'plan']",3,17,0,0,Charlie,0
325,Schedule sprint planning,Meeting,Low,In Progress,2025-06-27,schedule sprint planning,"['schedule', 'sprint', 'planning']","['schedule', 'sprint', 'planning']","['schedul', 'sprint', 'plan']",3,5,0,0,Bob,0
326,Weekly sync-up,Meeting,Medium,Done,2025-07-03,weekly syncup,"['weekly', 'syncup']","['weekly', 'syncup']","['weekli', 'syncup']",2,11,0,0,Bob,0
328,Weekly sync-up,Meeting,High,Done,2025-07-08,weekly syncup,"['weekly', 'syncup']","['weekly', 'syncup']","['weekli', 'syncup']",2,16,0,1,Charlie,1
329,Client presentation,Meeting,Low,To Do,2025-06-25,client presentation,"['client', 'presentation']","['client', 'presentation']","['client', 'present']",2,3,0,0,Bob,0
330,Demo product roadmap,Meeting,High,In Progress,2025-07-09,demo product roadmap,"['demo', 'product', 'roadmap']","['demo', 'product', 'roadmap']","['demo', 'product', 'roadmap']",3,17,0,1,Charlie,0
331,Demo product roadmap,Meeting,High,To Do,2025-06-28,demo product roadmap,"['demo', 'product', 'roadmap']","['demo', 'product', 'roadmap']","['demo', 'product', 'roadmap']",3,6,0,1,Bob,1
332,Client presentation,Meeting,Medium,To Do,2025-07-02,client presentation,"['client', 'presentation']","['client', 'presentation']","['client', 'present']",2,10,0,0,Alice,0
338,Client presentation,Meeting,Low,In Progress,2025-07-08,client presentation,"['client', 'presentation']","['client', 'presentation']","['client', 'present']",2,16,0,0,Charlie,0
340,Weekly sync-up,Meeting,Low,In Progress,2025-06-28,weekly syncup,"['weekly', 'syncup']","['weekly', 'syncup']","['weekli', 'syncup']",2,6,0,0,Alice,0
341,Weekly sync-up,Meeting,Low,In Progress,2025-06-29,weekly syncup,"['weekly', 'syncup']","['weekly', 'syncup']","['weekli', 'syncup']",2,7,0,0,Alice,0
342,Demo product roadmap,Meeting,High,In Progress,2025-07-05,demo product roadmap,"['demo', 'product', 'roadmap']","['demo', 'product', 'roadmap']","['demo', 'product', 'roadmap']",3,13,0,1,Bob,1
344,Schedule sprint planning,Meeting,Low,Done,2025-07-07,schedule sprint planning,"['schedule', 'sprint', 'planning']","['schedule', 'sprint', 'planning']","['schedul', 'sprint', 'plan']",3,15,0,0,Charlie,0
345,Client presentation,Meeting,Medium,In Progress,2025-07-08,client presentation,"['client', 'presentation']","['client', 'presentation']","['client', 'present']",2,16,0,0,Diana,0
346,Schedule sprint planning,Meeting,Low,To Do,2025-06-26,schedule sprint planning,"['schedule', 'sprint', 'planning']","['schedule', 'sprint', 'planning']","['schedul', 'sprint', 'plan']",3,4,0,0,Charlie,1
347,Demo product roadmap,Meeting,High,To Do,2025-06-25,demo product roadmap,"['demo', 'product', 'roadmap']","['demo', 'product', 'roadmap']","['demo', 'product', 'roadmap']",3,3,0,1,Bob,1
348,Client presentation,Meeting,Low,Done,2025-06-27,client presentation,"['client', 'presentation']","['client', 'presentation']","['client', 'present']",2,5,0,0,Diana,0
349,Client presentation,Meeting,Low,To Do,2025-06-30,client presentation,"['client', 'presentation']","['client', 'presentation']","['client', 'present']",2,8,0,0,Alice,0
351,Weekly sync-up,Meeting,Medium,In Progress,2025-07-05,weekly syncup,"['weekly', 'syncup']","['weekly', 'syncup']","['weekli', 'syncup']",2,13,0,0,Alice,0
353,Schedule sprint planning,Meeting,High,To Do,2025-06-26,schedule sprint planning,"['schedule', 'sprint', 'planning']","['schedule', 'sprint', 'planning']","['schedul', 'sprint', 'plan']",3,4,0,1,Alice,1
354,Demo product roadmap,Meeting,High,Done,2025-07-02,demo product roadmap,"['demo', 'product', 'roadmap']","['demo', 'product', 'roadmap']","['demo', 'product', 'roadmap']",3,10,0,1,Charlie,1
355,Weekly sync-up,Meeting,High,To Do,2025-07-06,weekly syncup,"['weekly', 'syncup']","['weekly', 'syncup']","['weekli', 'syncup']",2,14,0,1,Charlie,1
357,Schedule sprint planning,Meeting,Medium,In Progress,2025-07-01,schedule sprint planning,"['schedule', 'sprint', 'planning']","['schedule', 'sprint', 'planning']","['schedul', 'sprint', 'plan']",3,9,0,0,Charlie,0
358,Client presentation,Meeting,Medium,To Do,2025-07-04,client presentation,"['client', 'presentation']","['client', 'presentation']","['client', 'present']",2,12,0,0,Alice,0
359,Weekly sync-up,Meeting,High,Done,2025-06-24,weekly syncup,"['weekly', 'syncup']","['weekly', 'syncup']","['weekli', 'syncup']",2,2,1,1,Bob,1
360,Schedule sprint planning,Meeting,High,To Do,2025-06-27,schedule sprint planning,"['schedule', 'sprint', 'planning']","['schedule', 'sprint', 'planning']","['schedul', 'sprint', 'plan']",3,5,0,1,Diana,1
362,Demo product roadmap,Meeting,Medium,Done,2025-06-22,demo product roadmap,"['demo', 'product', 'roadmap']","['demo', 'product', 'roadmap']","['demo', 'product', 'roadmap']",3,0,1,0,Diana,0
363,Schedule sprint planning,Meeting,High,In Progress,2025-07-06,schedule sprint planning,"['schedule', 'sprint', 'planning']","['schedule', 'sprint', 'planning']","['schedul', 'sprint', 'plan']",3,14,0,1,Diana,1
364,Client presentation,Meeting,High,Done,2025-06-27,client presentation,"['client', 'presentation']","['client', 'presentation']","['client', 'present']",2,5,0,1,Alice,0
369,Weekly sync-up,Meeting,Medium,Done,2025-06-26,weekly syncup,"['weekly', 'syncup']","['weekly', 'syncup']","['weekli', 'syncup']",2,4,0,0,Bob,0
370,Client presentation,Meeting,Medium,To Do,2025-06-29,client presentation,"['client', 'presentation']","['client', 'presentation']","['client', 'present']",2,7,0,0,Alice,0
372,Demo product roadmap,Meeting,Low,Done,2025-07-01,demo product roadmap,"['demo', 'product', 'roadmap']","['demo', 'product', 'roadmap']","['demo', 'product', 'roadmap']",3,9,0,0,Diana,0
373,Schedule sprint planning,Meeting,Low,Done,2025-07-01,schedule sprint planning,"['schedule', 'sprint', 'planning']","['schedule', 'sprint', 'planning']","['schedul', 'sprint', 'plan']",3,9,0,0,Bob,0
375,Client presentation,Meeting,Low,In Progress,2025-07-10,client presentation,"['client', 'presentation']","['client', 'presentation']","['client', 'present']",2,18,0,0,Charlie,0
376,Weekly sync-up,Meeting,Low,To Do,2025-06-30,weekly syncup,"['weekly', 'syncup']","['weekly', 'syncup']","['weekli', 'syncup']",2,8,0,0,Diana,0
377,Client presentation,Meeting,Medium,Done,2025-06-30,client presentation,"['client', 'presentation']","['client', 'presentation']","['client', 'present']",2,8,0,0,Diana,0
378,Demo product roadmap,Meeting,Low,Done,2025-07-01,demo product roadmap,"['demo', 'product', 'roadmap']","['demo', 'product', 'roadmap']","['demo', 'product', 'roadmap']",3,9,0,0,Charlie,0
379,Demo product roadmap,Meeting,Low,To Do,2025-07-08,demo product roadmap,"['demo', 'product', 'roadmap']","['demo', 'product', 'roadmap']","['demo', 'product', 'roadmap']",3,16,0,0,Alice,0
380,Schedule sprint planning,Meeting,High,To Do,2025-07-01,schedule sprint planning,"['schedule', 'sprint', 'planning']","['schedule', 'sprint', 'planning']","['schedul', 'sprint', 'plan']",3,9,0,1,Charlie,1
382,Demo product roadmap,Meeting,High,In Progress,2025-07-07,demo product roadmap,"['demo', 'product', 'roadmap']","['demo', 'product', 'roadmap']","['demo', 'product', 'roadmap']",3,15,0,1,Diana,1
384,Client presentation,Meeting,High,In Progress,2025-06-25,client presentation,"['client', 'presentation']","['client', 'presentation']","['client', 'present']",2,3,0,1,Bob,1
386,Weekly sync-up,Meeting,High,Done,2025-07-09,weekly syncup,"['weekly', 'syncup']","['weekly', 'syncup']","['weekli', 'syncup']",2,17,0,1,Bob,1
387,Weekly sync-up,Meeting,Low,In Progress,2025-07-10,weekly syncup,"['weekly', 'syncup']","['weekly', 'syncup']","['weekli', 'syncup']",2,18,0,0,Diana,0
388,Schedule sprint planning,Meeting,High,To Do,2025-06-23,schedule sprint planning,"['schedule', 'sprint', 'planning']","['schedule', 'sprint', 'planning']","['schedul', 'sprint', 'plan']",3,1,1,1,Diana,1
389,Schedule sprint planning,Meeting,Low,In Progress,2025-06-30,schedule sprint planning,"['schedule', 'sprint', 'planning']","['schedule', 'sprint', 'planning']","['schedul', 'sprint', 'plan']",3,8,0,0,Alice,0
391,Client presentation,Meeting,High,In Progress,2025-06-27,client presentation,"['client', 'presentation']","['client', 'presentation']","['client', 'present']",2,5,0,1,Alice,0
392,Demo product roadmap,Meeting,Medium,To Do,2025-07-03,demo product roadmap,"['demo', 'product', 'roadmap']","['demo', 'product', 'roadmap']","['demo', 'product', 'roadmap']",3,11,0,0,Alice,0
394,Weekly sync-up,Meeting,High,To Do,2025-06-27,weekly syncup,"['weekly', 'syncup']","['weekly', 'syncup']","['weekli', 'syncup']",2,5,0,1,Bob,1
396,Schedule sprint planning,Meeting,Low,In Progress,2025-07-11,schedule sprint planning,"['schedule', 'sprint', 'planning']","['schedule', 'sprint', 'planning']","['schedul', 'sprint', 'plan']",3,19,0,0,Charlie,0
397,Schedule sprint planning,Meeting,High,In Progress,2025-06-28,schedule sprint planning,"['schedule', 'sprint', 'planning']","['schedule', 'sprint', 'planning']","['schedul', 'sprint', 'plan']",3,6,0,1,Charlie,0
398,Client presentation,Meeting,High,Done,2025-06-22,client presentation,"['client', 'presentation']","['client', 'presentation']","['client', 'present']",2,0,1,1,Alice,1
399,Schedule sprint planning,Meeting,Medium,Done,2025-07-01,schedule sprint planning,"['schedule', 'sprint', 'planning']","['schedule', 'sprint', 'planning']","['schedul', 'sprint', 'plan']",3,9,0,0,Alice,0
400,Weekly sync-up,Meeting,Low,To Do,2025-06-30,weekly syncup,"['weekly', 'syncup']","['weekly', 'syncup']","['weekli', 'syncup']",2,8,0,0,Diana,0
401,Read paper on LLMs,Research,Medium,Done,2025-07-05,read paper on llms,"['read', 'paper', 'on', 'llms']","['read', 'paper', 'llms']","['read', 'paper', 'llm']",4,13,0,0,Charlie,0
402,Compare cloud providers,Research,Medium,To Do,2025-07-02,compare cloud providers,"['compare', 'cloud', 'providers']","['compare', 'cloud', 'providers']","['compar', 'cloud', 'provid']",3,10,0,0,Diana,0
403,Benchmark database,Research,High,To Do,2025-06-24,benchmark database,"['benchmark', 'database']","['benchmark', 'database']","['benchmark', 'databas']",2,2,1,1,Diana,0
404,Compare cloud providers,Research,High,Done,2025-07-06,compare cloud providers,"['compare', 'cloud', 'providers']","['compare', 'cloud', 'providers']","['compar', 'cloud', 'provid']",3,14,0,1,Diana,0
405,Read paper on LLMs,Research,Medium,In Progress,2025-06-27,read paper on llms,"['read', 'paper', 'on', 'llms']","['read', 'paper', 'llms']","['read', 'paper', 'llm']",4,5,0,0,Alice,0
406,Benchmark database,Research,High,In Progress,2025-06-27,benchmark database,"['benchmark', 'database']","['benchmark', 'database']","['benchmark', 'databas']",2,5,0,1,Bob,0
407,Compare cloud providers,Research,High,Done,2025-07-09,compare cloud providers,"['compare', 'cloud', 'providers']","['compare', 'cloud', 'providers']","['compar', 'cloud', 'provid']",3,17,0,1,Diana,1
408,Compare cloud providers,Research,Medium,To Do,2025-06-27,compare cloud providers,"['compare', 'cloud', 'providers']","['compare', 'cloud', 'providers']","['compar', 'cloud', 'provid']",3,5,0,0,Alice,0
409,Benchmark database,Research,Medium,Done,2025-07-09,benchmark database,"['benchmark', 'database']","['benchmark', 'database']","['benchmark', 'databas']",2,17,0,0,Diana,0
410,Read paper on LLMs,Research,High,In Progress,2025-06-22,read paper on llms,"['read', 'paper', 'on', 'llms']","['read', 'paper', 'llms']","['read', 'paper', 'llm']",4,0,1,1,Alice,1
412,Benchmark database,Research,Medium,Done,2025-06-25,benchmark database,"['benchmark', 'database']","['benchmark', 'database']","['benchmark', 'databas']",2,3,0,0,Diana,0
413,Benchmark database,Research,Medium,To Do,2025-06-30,benchmark database,"['benchmark', 'database']","['benchmark', 'database']","['benchmark', 'databas']",2,8,0,0,Charlie,0
415,Explore new ML model,Research,Low,Done,2025-07-06,explore new ml model,"['explore', 'new', 'ml', 'model']","['explore', 'new', 'ml', 'model']","['explor', 'new', 'ml', 'model']",4,14,0,0,Charlie,0
416,Benchmark database,Research,Medium,Done,2025-06-29,benchmark database,"['benchmark', 'database']","['benchmark', 'database']","['benchmark', 'databas']",2,7,0,0,Diana,0
417,Benchmark database,Research,Low,In Progress,2025-06-28,benchmark database,"['benchmark', 'database']","['benchmark', 'database']","['benchmark', 'databas']",2,6,0,0,Alice,0
418,Explore new ML model,Research,Medium,Done,2025-07-06,explore new ml model,"['explore', 'new', 'ml', 'model']","['explore', 'new', 'ml', 'model']","['explor', 'new', 'ml', 'model']",4,14,0,0,Alice,0
420,Read paper on LLMs,Research,High,Done,2025-06-22,read paper on llms,"['read', 'paper', 'on', 'llms']","['read', 'paper', 'llms']","['read', 'paper', 'llm']",4,0,1,1,Charlie,0
421,Explore new ML model,Research,High,Done,2025-06-24,explore new ml model,"['explore', 'new', 'ml', 'model']","['explore', 'new', 'ml', 'model']","['explor', 'new', 'ml', 'model']",4,2,1,1,Charlie,0
422,Compare cloud providers,Research,Low,In Progress,2025-07-02,compare cloud providers,"['compare', 'cloud', 'providers']","['compare', 'cloud', 'providers']","['compar', 'cloud', 'provid']",3,10,0,0,Diana,0
423,Compare cloud providers,Research,Medium,Done,2025-06-27,compare cloud providers,"['compare', 'cloud', 'providers']","['compare', 'cloud', 'providers']","['compar', 'cloud', 'provid']",3,5,0,0,Alice,0
424,Benchmark database,Research,Low,In Progress,2025-06-27,benchmark database,"['benchmark', 'database']","['benchmark', 'database']","['benchmark', 'databas']",2,5,0,0,Bob,0
425,Explore new ML model,Research,High,To Do,2025-07-04,explore new ml model,"['explore', 'new', 'ml', 'model']","['explore', 'new', 'ml', 'model']","['explor', 'new', 'ml', 'model']",4,12,0,1,Diana,1
426,Benchmark database,Research,Medium,Done,2025-06-30,benchmark database,"['benchmark', 'database']","['benchmark', 'database']","['benchmark', 'databas']",2,8,0,0,Alice,0
428,Read paper on LLMs,Research,Medium,To Do,2025-07-08,read paper on llms,"['read', 'paper', 'on', 'llms']","['read', 'paper', 'llms']","['read', 'paper', 'llm']",4,16,0,0,Alice,0
429,Benchmark database,Research,High,In Progress,2025-07-07,benchmark database,"['benchmark', 'database']","['benchmark', 'database']","['benchmark', 'databas']",2,15,0,1,Diana,1
430,Read paper on LLMs,Research,Low,Done,2025-06-28,read paper on llms,"['read', 'paper', 'on', 'llms']","['read', 'paper', 'llms']","['read', 'paper', 'llm']",4,6,0,0,Charlie,0
431,Compare cloud providers,Research,Medium,Done,2025-07-04,compare cloud providers,"['compare', 'cloud', 'providers']","['compare', 'cloud', 'providers']","['compar', 'cloud', 'provid']",3,12,0,0,Diana,0
432,Compare cloud providers,Research,High,To Do,2025-06-25,compare cloud providers,"['compare', 'cloud', 'providers']","['compare', 'cloud', 'providers']","['compar', 'cloud', 'provid']",3,3,0,1,Alice,1
433,Explore new ML model,Research,Medium,To Do,2025-07-06,explore new ml model,"['explore', 'new', 'ml', 'model']","['explore', 'new', 'ml', 'model']","['explor', 'new', 'ml', 'model']",4,14,0,0,Bob,0
435,Explore new ML model,Research,Medium,In Progress,2025-07-04,explore new ml model,"['explore', 'new', 'ml', 'model']","['explore', 'new', 'ml', 'model']","['explor', 'new', 'ml', 'model']",4,12,0,0,Diana,0
436,Benchmark database,Research,Medium,To Do,2025-07-01,benchmark database,"['benchmark', 'database']","['benchmark', 'database']","['benchmark', 'databas']",2,9,0,0,Diana,0
437,Explore new ML model,Research,High,To Do,2025-07-03,explore new ml model,"['explore', 'new', 'ml', 'model']","['explore', 'new', 'ml', 'model']","['explor', 'new', 'ml', 'model']",4,11,0,1,Charlie,0
438,Benchmark database,Research,Low,To Do,2025-06-25,benchmark database,"['benchmark', 'database']","['benchmark', 'database']","['benchmark', 'databas']",2,3,0,0,Charlie,0
440,Benchmark database,Research,Low,In Progress,2025-07-11,benchmark database,"['benchmark', 'database']","['benchmark', 'database']","['benchmark', 'databas']",2,19,0,0,Bob,0
442,Read paper on LLMs,Research,High,Done,2025-07-03,read paper on llms,"['read', 'paper', 'on', 'llms']","['read', 'paper', 'llms']","['read', 'paper', 'llm']",4,11,0,1,Charlie,1
443,Read paper on LLMs,Research,Medium,To Do,2025-07-09,read paper on llms,"['read', 'paper', 'on', 'llms']","['read', 'paper', 'llms']","['read', 'paper', 'llm']",4,17,0,0,Charlie,0
444,Compare cloud providers,Research,Medium,To Do,2025-06-26,compare cloud providers,"['compare', 'cloud', 'providers']","['compare', 'cloud', 'providers']","['compar', 'cloud', 'provid']",3,4,0,0,Alice,0
445,Explore new ML model,Research,Medium,In Progress,2025-06-25,explore new ml model,"['explore', 'new', 'ml', 'model']","['explore', 'new', 'ml', 'model']","['explor', 'new', 'ml', 'model']",4,3,0,0,Charlie,0
447,Benchmark database,Research,High,Done,2025-06-22,benchmark database,"['benchmark', 'database']","['benchmark', 'database']","['benchmark', 'databas']",2,0,1,1,Alice,0
448,Read paper on LLMs,Research,Medium,Done,2025-06-26,read paper on llms,"['read', 'paper', 'on', 'llms']","['read', 'paper', 'llms']","['read', 'paper', 'llm']",4,4,0,0,Diana,1
449,Explore new ML model,Research,Medium,Done,2025-07-11,explore new ml model,"['explore', 'new', 'ml', 'model']","['explore', 'new', 'ml', 'model']","['explor', 'new', 'ml', 'model']",4,19,0,0,Diana,0
450,Explore new ML model,Research,Medium,To Do,2025-07-02,explore new ml model,"['explore', 'new', 'ml', 'model']","['explore', 'new', 'ml', 'model']","['explor', 'new', 'ml', 'model']",4,10,0,0,Bob,0
452,Read paper on LLMs,Research,High,Done,2025-06-26,read paper on llms,"['read', 'paper', 'on', 'llms']","['read', 'paper', 'llms']","['read', 'paper', 'llm']",4,4,0,1,Charlie,1
453,Read paper on LLMs,Research,Low,In Progress,2025-06-23,read paper on llms,"['read', 'paper', 'on', 'llms']","['read', 'paper', 'llms']","['read', 'paper', 'llm']",4,1,1,0,Bob,1
455,Benchmark database,Research,Low,To Do,2025-06-28,benchmark database,"['benchmark', 'database']","['benchmark', 'database']","['benchmark', 'databas']",2,6,0,0,Alice,0
457,Compare cloud providers,Research,Low,Done,2025-07-06,compare cloud providers,"['compare', 'cloud', 'providers']","['compare', 'cloud', 'providers']","['compar', 'cloud', 'provid']",3,14,0,0,Diana,0
460,Compare cloud providers,Research,Medium,Done,2025-07-10,compare cloud providers,"['compare', 'cloud', 'providers']","['compare', 'cloud', 'providers']","['compar', 'cloud', 'provid']",3,18,0,0,Alice,0
463,Benchmark database,Research,Low,Done,2025-07-09,benchmark database,"['benchmark', 'database']","['benchmark', 'database']","['benchmark', 'databas']",2,17,0,0,Charlie,0
464,Read paper on LLMs,Research,High,In Progress,2025-07-08,read paper on llms,"['read', 'paper', 'on', 'llms']","['read', 'paper', 'llms']","['read', 'paper', 'llm']",4,16,0,1,Alice,1
